1704.5549,1034.1943,10868.3887,0.0000,0.0000,-8347.7056,-9773.0955,-7313.5112,1095.2932
1704.5699,1024.4521,10856.9834,-649.4792,-760.3794,-8337.9634,-9761.6902,-7313.5112,1095.2932
1704.5850,1004.9825,10834.1885,-1285.2640,-1504.7266,-8318.4937,-9738.8953,-7313.5112,1095.2932
1704.6000,975.9615,10800.2119,-1934.7433,-2265.1060,-8289.4727,-9704.9187,-7313.5112,1095.2932
1704.6150,937.2286,10754.8652,-2582.1987,-3023.1157,-8250.7398,-9659.5720,-7313.5112,1095.2932
1704.6300,898.6495,10709.6992,-2571.9375,-3011.1025,-8212.1607,-9614.4060,-7313.5112,1095.2932
1704.6450,860.0704,10664.5332,-2571.9375,-3011.1028,-8173.5817,-9569.2400,-7313.5112,1095.2932
1704.6599,821.4914,10619.3672,-2571.9375,-3011.1025,-8135.0026,-9524.0740,-7313.5112,1095.2932
1704.6749,782.9124,10574.2012,-2571.9375,-3011.1025,-8096.4236,-9478.9080,-7313.5112,1095.2932
1704.6899,744.3333,10529.0352,-2571.9375,-3011.1023,-8057.8445,-9433.7419,-7313.5112,1095.2932
1704.7050,705.7542,10483.8691,-2571.9377,-3011.1023,-8019.2654,-9388.5759,-7313.5112,1095.2932
1704.7200,667.1752,10438.7031,-2571.9377,-3011.1023,-7980.6864,-9343.4099,-7313.5112,1095.2932
1704.7350,628.5961,10393.5371,-2571.9377,-3011.1023,-7942.1074,-9298.2439,-7313.5112,1095.2932
1704.7500,590.0170,10348.3711,-2571.9377,-3011.1023,-7903.5283,-9253.0779,-7313.5112,1095.2932
1704.7650,551.4380,10303.2051,-2571.9377,-3011.1025,-7864.9492,-9207.9119,-7313.5112,1095.2932
1704.7799,512.8589,10258.0391,-2571.9377,-3011.1023,-7826.3702,-9162.7458,-7313.5112,1095.2932
1704.7949,474.2799,10212.8730,-2571.9377,-3011.1023,-7787.7911,-9117.5798,-7313.5112,1095.2932
1704.8099,435.7008,10167.7070,-2571.9375,-3011.1023,-7749.2121,-9072.4138,-7313.5112,1095.2932
1704.8250,397.1218,10122.5410,-2571.9375,-3011.1025,-7710.6330,-9027.2478,-7313.5112,1095.2932
1704.8400,358.5427,10077.3750,-2571.9370,-3011.1025,-7672.0540,-8982.0818,-7313.5112,1095.2932
1704.8550,319.9637,10032.2090,-2571.9370,-3011.1028,-7633.4749,-8936.9158,-7313.5112,1095.2932
1704.8700,281.3846,9987.0420,-2571.9368,-3011.1028,-7594.8959,-8891.7488,-7313.5112,1095.2932
1704.8850,242.8056,9941.8760,-2571.9368,-3011.1028,-7556.3168,-8846.5828,-7313.5112,1095.2932
1704.8999,204.2265,9896.7090,-2571.9368,-3011.1030,-7517.7377,-8801.4158,-7313.5112,1095.2932
1704.9149,165.6475,9851.5420,-2571.9368,-3011.1030,-7479.1587,-8756.2488,-7313.5112,1095.2932
